,number_of_operators,number_of_available_trolleys,serving_customer,describe_the_accident,maximum_number_of_vehicles_in_the_traffic_jam,_title,_server_updated_at,_updated_by,_geometry,_latitude,_longitude,arrival_of_the_freight_vehicle,plates,company_if_visible,visit_purpose,type_of_vehicle,picture_of_the_parked_freight_vehicle,where_was_the_vehicle_parked,while_parked_was_the_engine_running,used_traffic_cone,vehicles_unloading_door,garage_blocking,accident,noise,traffic_congestion
146,1.0,0.0,0,0,0,"2417 Calle Cordillera de los Balcanes
Puebla de Zaragoza PUE 72220
MX",2022-11-09 21:33:20 UTC,Pedro Contreras,SRID=4326;POINT(-98.1653164377 19.0721117517),19.07211175,-98.16531644,15:29,K44-KYG,0,Delivery,Automobile,https://web.fulcrumapp.com/photos/view?photos=56358cef-edad-44e0-9e88-8e96d1071f9c,Street - next to the curbside,no,no,Rear,no,no,no,no
147,1.0,0.0,0,0,0,"9034–9054 Avenida Montes Urales
Puebla de Zaragoza PUE 72220
MX",2022-11-09 21:28:01 UTC,Pedro Contreras,SRID=4326;POINT(-98.1657873523 19.0730388751),19.07303888,-98.16578735,15:23,SM-58-725,MADIASA-CAT,Sales & delivery,Pick-up,https://web.fulcrumapp.com/photos/view?photos=db87d895-1672-4da3-972d-e19059b714fb,Double lane,yes,no,Rear,no,no,no,no
148,1.0,0.0,0,0,0,"2036 Privada Alpes
Puebla de Zaragoza PUE 72220
MX",2022-11-09 21:19:15 UTC,Pedro Contreras,SRID=4326;POINT(-98.1674315757 19.0747634793),19.07476348,-98.16743158,15:17,KZ-86-754,GUERRERAS,Sales & delivery,Light truck or Van,https://web.fulcrumapp.com/photos/view?photos=7a29c022-5057-4e02-96ae-9a9200db92a5,Double lane,no,no,Rear,no,no,no,no
149,1.0,0.0,0,0,0,"2002–2028 Privada Sierra Tarahumara
Puebla de Zaragoza PUE 72220
MX",2022-11-09 21:05:58 UTC,Pedro Contreras,SRID=4326;POINT(-98.1695359843 19.0728531297),19.07285313,-98.16953598,15:04,0,0,Delivery,SUV,https://web.fulcrumapp.com/photos/view?photos=266c4d6a-1008-4da3-81d8-77fc8ad60b62,Street - next to the curbside,no,no,Rear,yes,no,no,no
150,1.0,0.0,0,0,0,"Avenida Prolongación Tecnológico
Puebla de Zaragoza PUE 72220
MX",2022-11-09 21:03:58 UTC,Pedro Contreras,SRID=4326;POINT(-98.1701053028 19.0724586602),19.07245866,-98.1701053,15:01,SN-22-290,0,Sales & delivery,SUV,https://web.fulcrumapp.com/photos/view?photos=db24b1df-55a7-4e5d-bb6d-93af85780978,Street - next to the curbside,yes,no,Rear,no,no,no,no
151,2.0,2.0,0,0,0,"11 Avenida Aquiles Serdán
San Bernardino Tlaxcalancingo PUE 72836
MX",2022-11-09 21:00:32 UTC,Luis Lara,SRID=4326;POINT(-98.2500988339 19.0307618352),19.03076184,-98.25009883,14:45,TME-046,Tecate ,Delivery,Heavy duty truck,https://web.fulcrumapp.com/photos/view?photos=d2f15643-861e-4128-a1a2-67153fcc2f2c,Street - next to the curbside,no,no,Rear,yes,no,no,no
152,1.0,0.0,0,0,0,"2 Avenida Venustiano Carranza
San Bernardino Tlaxcalancingo PUE 72836
MX",2022-11-09 20:57:52 UTC,Juan Spínola,SRID=4326;POINT(-98.2498263765 19.0307312402),19.03073124,-98.24982638,14:48,SP45032,0,Delivery,Light truck or Van,https://web.fulcrumapp.com/photos/view?photos=5a38fc3a-8db4-4394-9a25-7fda69c79d72,Store's garage,no,no,Rear,yes,no,no,no
153,1.0,1.0,0,0,0,"501 Avenida las Margaritas
Puebla de Zaragoza PUE 72450
MX",2022-11-09 20:52:03 UTC,Saúl Cuervo,SRID=4326;POINT(-98.2210329083 19.014630192),19.01463019,-98.22103291,13:50,RX-55-661,Bimbo,Delivery,Light truck or Van,https://web.fulcrumapp.com/photos/view?photos=d709ce17-cc33-471c-acf6-2ad5186e5e79,Street - next to the curbside,no,no,Rear,no,no,no,yes
154,2.0,0.0,0,0,0,"42 Avenida Adolfo López Mateos
Puebla de Zaragoza PUE 72210
MX",2022-11-09 20:44:48 UTC,Pedro Contreras,SRID=4326;POINT(-98.1744661668 19.0747364535),19.07473645,-98.17446617,14:41,TYR-35-52,0,Delivery,Light truck or Van,https://web.fulcrumapp.com/photos/view?photos=d58967f7-6a07-438c-9ffd-94436687ec2d,Street - next to the curbside,no,no,Rear,no,no,no,no
155,1.0,0.0,0,0,0,"164–1626 Avenida Venustiano Carranza
San Bernardino Tlaxcalancingo PUE 72835
MX",2022-11-09 20:43:23 UTC,Juan Spínola,SRID=4326;POINT(-98.2490972742 19.0251680226),19.02516802,-98.24909727,14:29,SP29776,Gamesa,Delivery,Light truck or Van,https://web.fulcrumapp.com/photos/view?photos=b423e1c3-8ea2-42dc-b097-666488ddefeb,Street - next to the curbside,no,no,Side,no,no,no,no
