,238_frequency_buying_store,81_number_online_purchases_month,288_number_app_purchases_month,289_number_whatsapp_purchases_month,83_willingness_ultrafast_delivery,84_willingness_sameday_delivery,241_age_of_the_interviewee,_title,_server_updated_at,_updated_by,_geometry,282_payment_method_that_purchase,283_fulfill_needs,300_did_not_find,237_distance_household_interviewee,299_means_transportation_consumer,238_frequency_buying_store,284_additional_products_store,301_electricity_bill,305_electricity_bill_store,302_water_bill,306_water_bill_store,303_gas_bill,307_gas_bill_store,286_topups,308_topups_in_store,287_wire_transfers,309_wiretransfers_in_store,320_other_services_in_store,304_additional_services_store,240_gender_interviewee,indicate_the_type_of_store,name_of_the_store,storefront_picture_just_once_if_possible
33,4.0,6.0,4.0,0.0,50.0,50.0,50.0,"November 7, 2022",2022-11-10 00:00:52 UTC,Pablo Jesús Pérez Franklin,SRID=4326;POINT(-98.2491542771 19.025403552),Efectivo,yes,0,más de 10 cuadras,Automóvil,4,0,Aplicación ,yes,Sistema de agua,yes,Proveedor de gas,no,Tienda de conveniencia (e.g. OXXO),yes,No lo hago,no,yes,Alimentos como pollo,Male,Grocery store (aka. nanostore),Misceláneas San Juditas,1 Photo
34,4.0,2.0,2.0,0.0,30.0,30.0,20.0,"November 4, 2022",2022-11-09 23:32:33 UTC,José Zapata,SRID=4326;POINT(-98.217873 19.01854),Efectivo,yes,0,0 a 3 cuadras,A pie,4,0,CFE,yes,Sistema de agua,yes,Aplicación,yes,Tienda de conveniencia (e.g. OXXO),yes,Tienda de conveniencia (e.g. OXXO),yes,yes,Pagos,Male,Grocery store (aka. nanostore),Recaudattán,1 Photo
35,1.9,0.0,0.0,0.0,0.0,0.0,28.7,"November 9, 2022",2022-11-09 23:19:13 UTC,Amaranta Hernández,SRID=4326;POINT(-98.166423887 19.072236547),Efectivo,yes,0,0 a 3 cuadras,A pie,7,0,CFE,no,Sistema de agua,no,Proveedor de gas,no,"Farmacia ,Tienda de conveniencia (e.g. OXXO)",yes,No lo hago,no,no,0,Female,Grocery store (aka. nanostore),ILYA PAPELERÍA ,1 Photo
36,5.0,3.0,1.0,0.0,0.0,0.0,33.0,"November 9, 2022",2022-11-09 23:19:12 UTC,Amaranta Hernández,SRID=4326;POINT(-98.1656574458 19.0723740694),Efectivo,yes,0,0 a 3 cuadras,A pie,5,0,App,no,App,no,App,no,App,yes,No lo hago,no,no,0,Female,Micro-restaurant (aka. fondita),Antojitos ,1 Photo
37,2.0,2.0,1.0,0.0,0.0,0.0,21.0,"November 9, 2022",2022-11-09 23:19:12 UTC,Amaranta Hernández,SRID=4326;POINT(-98.1666609272 19.0697383098),Efectivo,yes,0,4 a 6 cuadras,A pie,2,0,No lo hago,no,No lo hago,no,No lo hago,no,No lo hago,no,No lo hago,no,no,0,Female,Grocery store (aka. nanostore),El supercito ,1 Photo
38,1.0,4.0,9.0,0.0,0.0,0.0,18.0,"November 9, 2022",2022-11-09 23:19:11 UTC,Amaranta Hernández,SRID=4326;POINT(-98.1665194407 19.0696236004),Efectivo,yes,0,más de 10 cuadras,Transporte público,1,0,"CFE,En línea ",no,En línea ,no,"En línea ,Proveedor de gas",no,Tienda de conveniencia (e.g. OXXO),no,No lo hago,no,no,0,Female,Micro-restaurant (aka. fondita),Café Donatelli,1 Photo
39,1.0,2.0,0.0,0.0,0.0,0.0,18.0,"November 9, 2022",2022-11-09 23:19:11 UTC,Amaranta Hernández,SRID=4326;POINT(-98.1676251814 19.0708933214),Efectivo,yes,0,más de 10 cuadras,Transporte público,1,0,CFE,no,Sistema de agua,no,Proveedor de gas,no,No lo hago,no,No lo hago,no,no,0,Male,Micro-restaurant (aka. fondita),(No tiene nombre) ,1 Photo
40,2.0,2.0,5.0,0.2,35.1,200.0,20.0,"November 9, 2022",2022-11-09 23:19:10 UTC,Amaranta Hernández,SRID=4326;POINT(-98.1671138853 19.071234278),Efectivo,yes,0,más de 10 cuadras,Automóvil,2,0,CFE,yes,Sistema de agua,yes,Proveedor de gas,yes,Banco,no,No lo hago,no,no,0,Male,Grocery store (aka. nanostore),El León,1 Photo
41,1.0,0.0,0.0,0.0,50.0,50.0,19.0,"November 9, 2022",2022-11-09 23:19:10 UTC,Amaranta Hernández,SRID=4326;POINT(-98.1671024859 19.0712311093),Efectivo,yes,0,más de 10 cuadras,Transporte público,1,0,CFE,yes,Sistema de agua,yes,Proveedor de gas,yes,Tienda de conveniencia (e.g. OXXO),yes,No lo hago,no,yes,Pago de servicios ,Female,Grocery store (aka. nanostore),El León ,1 Photo
42,2.0,0.0,0.0,0.0,0.0,0.0,22.0,"November 9, 2022",2022-11-09 23:19:09 UTC,Amaranta Hernández,SRID=4326;POINT(-98.1671789289 19.0711623476),Efectivo,yes,0,más de 10 cuadras,Transporte público,2,0,CFE,no,Sistema de agua,no,No lo hago,no,No lo hago,no,No lo hago,no,no,0,Male,Grocery store (aka. nanostore),La universitaria ,1 Photo
